Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-01-03,16395.509765625,16504.140625,16306.6396484375,16501.76953125,4412130000,0,0
2022-01-04,16513.869140625,16513.869140625,16151.900390625,16279.73046875,5109270000,0,0
2022-01-05,16190.5498046875,16249.23046875,15763.83984375,15771.7802734375,5011990000,0,0
2022-01-06,15675.2197265625,15900.599609375,15608.5703125,15765.3603515625,4774740000,0,0
2022-01-07,15774.1298828125,15835.0,15526.7998046875,15592.1904296875,4229270000,0,0
2022-01-10,15383.1796875,15627.919921875,15165.5302734375,15614.4296875,5303230000,0,0
2022-01-11,15582.7197265625,15848.5595703125,15496.91015625,15844.1201171875,4378660000,0,0
2022-01-12,15955.48046875,16017.3896484375,15815.9501953125,15905.099609375,4321180000,0,0
2022-01-13,15970.08984375,15990.3798828125,15468.08984375,15495.6201171875,4283070000,0,0
2022-01-14,15396.4697265625,15617.1796875,15396.4697265625,15611.58984375,4345780000,0,0
