,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,2020-03-01,10.4,6.7,15.6,0.0,0.0,324.6,19.1,,1015.4,
1,2020-03-02,15.0,12.8,21.1,0.0,0.0,334.5,23.0,,1017.1,
2,2020-03-03,16.3,10.0,23.9,0.0,0.0,307.1,10.1,,1016.8,
3,2020-03-04,14.6,9.4,23.3,0.0,0.0,321.8,8.3,,1017.7,
4,2020-03-05,14.0,9.4,16.7,0.0,0.0,267.3,10.8,,1019.9,
5,2020-03-06,12.9,9.4,15.0,0.0,0.0,221.1,16.2,,1015.6,
6,2020-03-07,11.0,9.4,13.3,2.0,0.0,237.7,11.2,,1013.9,
7,2020-03-08,10.7,7.8,15.0,0.0,0.0,,7.9,,,
8,2020-03-09,12.5,9.4,18.9,0.0,0.0,39.0,6.1,,1018.5,
9,2020-03-10,14.9,10.0,21.7,0.0,,38.8,8.6,,1016.3,
10,2020-03-11,16.2,10.0,21.1,0.0,,306.9,16.2,,1016.8,
11,2020-03-12,13.0,8.3,21.1,0.0,,301.7,14.8,,1011.5,
12,2020-03-13,13.1,8.3,17.2,0.0,,229.2,19.8,,1008.3,
13,2020-03-14,11.3,9.4,12.2,11.7,,222.7,14.8,,1014.4,
14,2020-03-15,10.9,8.3,13.3,5.1,,214.3,17.3,,1014.1,
15,2020-03-16,9.3,6.7,12.8,3.3,,81.5,13.7,,1013.1,
16,2020-03-17,9.3,6.7,13.3,0.3,,240.2,11.2,,1014.3,
17,2020-03-18,10.2,8.3,13.9,0.3,,206.7,12.6,,1012.3,
18,2020-03-19,11.4,8.3,16.1,0.0,,290.9,9.7,,1016.3,
19,2020-03-20,11.8,6.7,17.2,0.0,,299.8,9.0,,1021.6,
20,2020-03-21,12.8,8.3,16.7,0.0,,4.1,8.6,,1020.5,
21,2020-03-22,13.3,9.4,18.9,0.0,,304.3,8.3,,1018.0,
22,2020-03-23,12.5,10.0,15.6,0.0,,245.0,15.5,,1019.4,
23,2020-03-24,11.4,8.3,13.3,3.3,,206.1,14.8,,1020.4,
24,2020-03-25,10.5,6.7,13.9,1.5,,262.7,19.4,,1018.5,
25,2020-03-26,9.9,5.0,15.0,0.0,,304.8,18.4,,1018.0,
26,2020-03-27,11.4,8.3,15.0,0.0,,265.2,23.4,,1021.0,
27,2020-03-28,12.1,10.0,14.4,1.0,,169.2,9.7,,1022.1,
28,2020-03-29,12.1,10.0,15.6,5.1,,153.7,11.5,,1020.1,
29,2020-03-30,13.0,9.4,17.2,0.0,,274.2,11.2,,1025.3,
30,2020-03-31,13.3,10.6,18.3,0.0,,282.3,18.4,,1022.4,
31,2020-04-01,12.7,9.4,15.6,0.0,,276.2,25.9,,1016.2,
32,2020-04-02,11.8,6.7,17.2,0.0,,277.2,23.0,,1018.5,
33,2020-04-03,11.8,8.3,16.7,0.0,,275.0,26.3,,1017.7,
34,2020-04-04,11.4,9.4,15.0,7.4,,221.7,17.6,,1011.8,
35,2020-04-05,11.8,8.3,14.4,10.4,,219.5,15.5,,1005.0,
36,2020-04-06,9.6,6.7,10.6,16.8,,289.3,9.4,,1011.4,
37,2020-04-07,9.3,6.1,17.8,0.0,,249.1,15.1,,1018.1,
38,2020-04-08,12.8,10.0,16.7,0.0,,226.5,13.0,,1014.6,
39,2020-04-09,13.3,10.0,18.3,0.0,,233.0,11.2,,1016.1,
40,2020-04-10,14.5,11.7,17.2,0.0,,275.4,21.2,,1017.7,
41,2020-04-11,12.8,11.1,16.7,0.0,,246.8,15.5,,1017.3,
42,2020-04-12,12.7,11.1,16.7,0.0,,240.3,13.3,,1017.0,
43,2020-04-13,13.1,8.3,20.0,0.0,,290.5,13.7,,1020.1,
44,2020-04-14,14.7,8.3,25.0,0.0,,309.6,11.5,,1022.3,
45,2020-04-15,16.1,10.0,22.8,0.0,,298.3,13.7,,1017.8,
46,2020-04-16,13.3,11.1,16.7,0.0,,249.5,15.8,,1013.3,
47,2020-04-17,13.3,10.0,16.7,0.0,,216.9,16.2,,1014.2,
48,2020-04-18,14.3,12.2,18.3,0.0,,226.3,14.8,,1017.7,
